doc_id,file,fileName,id ,abstract,title,isPartOf,publicationYear,doi,docType,docSubType,provider,collection,datePublished,issueNumber,volumeNumber,url,creator,publisher,language,pageStart,pageEnd,placeOfPublication,keyphrase,wordCount,pageCount,file
processed_fulltext_1.txt,fulltext_1,fulltext_1.txt,http://www.jstor.org/stable/41308890,"This paper identifies the core areas of the Master of Library and Information Studies (MLIS) curriculum at the School of Library and Information Studies (SLIS), University of Alabama, that informed student experiences during an ongoing service-learning project designed to provide basic technology literacy training to individuals with intellectual disabilities. This study was conducted to assess whether student participation complemented or expanded the knowledge and skills gained from the MLIS core through application in an external setting. The knowledge and skills acquired by the students are intended to raise consciousness of critical literacy issues that will enable students to participate in community engagement beyond their MLIS program. Through this study, the authors evaluate a project framework designed to connect student experiences in a training-based project with the core areas of the MLIS curriculum. Preliminary analysis demonstrates potential for the framework to serve as a practical generalization for developing similar basic technology literacy projects that can complement what is taught in other MLIS programs.",A Service-Learning Framework to Support an MLIS Core Curriculum,Journal of Education for Library and Information Science,2011,10.2307/41308890,article,research-article,jstor,,4/1/2011,2,52,http://www.jstor.org/stable/41308890,Dan Albertson; Maryann S. Whitaker,Association for Library and Information Science Education (ALISE),eng,152,163,,literacy; mlis core; learning; project; technology literacy; service; library; framework; students; project framework,6356,12,5ba600e5-1e80-4ff3-edf9-458ad76b1059
processed_fulltext_2.txt,fulltext_2,fulltext_2.txt,http://www.jstor.org/stable/26754757,"Traditionally, American library and information science (LIS) education and librarianship have been predominantly white and female-oriented professions. As an international gay male person of color (originally from India) in its ranks, I have embraced social justice scholarship outside and within our bastion institutions of higher learning during a 14.5-year tenure as an LIS educator in the United States. This article reflects on select experiences as a minority along multiple intersectional dimensions of human experience and socially constructed identity markers, including race/ethnicity, national origins, sex, gender, and sexual orientation. Indulging in these musings allows me to decipher layers of complexities shaping faculty interpersonal microaggressions, a perceived lack of equal/equitable recognition of contributions, and limited comparable administrative growth/opportunities. These are discussed as hypothesized encounters in the form of few imagined scenarios or key episodes connected in the form of a searching narrative. It develops an alternative ""voice"" to identify possible directions that might transform LIS education beyond its ""feel good"" practices/policies surrounding diversity, inclusion, and collegiality and give it greater relevance in the twenty-first century. The goal is to engage authentic conversations that address behaviors of perceived prejudice, bias, abuse, and discrimination (intentional or unintentional) by LIS faculty/administrators targeting male faculty of color and ""marginalized"" others (e.g., first-generation graduates) in academic and professional networks.",The Non-White Man's Burden in LIS Education,Journal of Education for Library and Information Science,2019,10.2307/26754757,article,research-article,jstor,,7/1/2019,3,60,http://www.jstor.org/stable/26754757,Bharat Mehra,Association for Library and Information Science Education (ALISE),eng,198,207,,lis education; microaggressions; faculty; constructive nudges; library; biased microaggressions; gender; faculty member; collegiality; man's burden,4670,10,5ba600e5-1e80-4ff3-edf9-458ad76b1059
processed_fulltext_3.txt,fulltext_3,fulltext_3.txt,http://www.jstor.org/stable/40323802,This exploratory study examines the number of African American female doctoral recipients in library and information science (LIS) and their research interests in the past ten years. It enhances understanding of what African American female Ph.D. recipients plan to contribute to the LIS field through what they have found important to study in their dissertation research. These areas of study provide insight into the participation of African American women in LIS and the amount of research focus being given to information issues related to African Americans. This paper presents these data and findings within the context of diversity in doctoral education in LIS and historical issues of the participation of African Americans in LIS education. Recommendations and areas of future research generated from findings are proposed to further explore the implications of the findings discussed in this paper and to assist graduate school administrators in refining recruitment methods that will serve to attract more African American women to the LIS field.,"A Decade of Doctorates: An Examination of Dissertations Written by African American Women in Library and Information Studies, 1993-2003",Journal of Education for Library and Information Science,2007,10.2307/40323802,article,research-article,jstor,,7/1/2007,3,48,http://www.jstor.org/stable/40323802,Renee E. Franklin; Paul T. Jaeger,Association for Library and Information Science Education (ALISE),eng,187,201,,african; underrepresented populations; doctoral; library; diversity; american; lis doctoral; doctoral programs; librarians; education,5811,15,5ba600e5-1e80-4ff3-edf9-458ad76b1059
processed_fulltext_4.txt,fulltext_4,fulltext_4.txt,http://www.jstor.org/stable/90015100,"The Association for Library and Information Science Education (ALISE) appointed a five-member Taskforce in 2011 to pursue the development of an ALISE Statement on Diversity. Two years later, the ALISE membership voted unanimously to adopt the statement. In an effort to move the statement from mere words on paper, the Taskforce provided actionable models and ideas in an “ignite” session on diversity. In this collaborative piece, four members of the ignite diversity panel share their ideas, experiences, and methods for advancing diversity in the classroom and beyond. Professors Renate Chancellor, Clara Chu, Howard Rodriguez-Mori, and Loriene Roy provide ideas and real world examples that can be readily implemented in the classroom, in research, and at the institutional level. While the United States provides the context for these discussions, many of these methods and ideas are readily adaptable to countries across the globe.",Igniting Diversity,Journal of Education for Library and Information Science,2015,10.2307/90015100,article,research-article,jstor,,1/1/2015,,56,http://www.jstor.org/stable/90015100,Shari A. Lee; Renate Chancellor; Clara M. Chu; Howard Rodriguez-Mori; Loriene Roy,Association for Library and Information Science Education (ALISE),eng,S47,S60,,diversity; library; research; cultural; igniting diversity; students; culture race; indigenous; communication; renate chancellor,7918,14,5ba600e5-1e80-4ff3-edf9-458ad76b1059
processed_fulltext_5.txt,fulltext_5,fulltext_5.txt,http://www.jstor.org/stable/41308902,"This paper reports on the preliminary results from a pilot study conducted to examine library and information science (LIS) students' perceptions of their level of preparation for becoming culturally competent LIS professionals. Students participated in an electronic survey, which contained a Likert scale measuring three areas of cultural competence: self-awareness, education, and interaction. A gap analysis technique was employed to detect discrepancies between students' prior knowledge and actual learning relative to cultural competence. This article discusses student-reported gaps in knowledge for the section of the questionnaire on ""Education."" Students indicated that all of the concepts introduced in this section were important to learn but their level of knowledge gained varied from no or low levels to moderate levels of actual learning.",Are We There Yet? Results of a Gap Analysis to Measure LIS Students' Prior Knowledge and Actual Learning of Cultural Competence Concepts,Journal of Education for Library and Information Science,2011,10.2307/41308902,article,research-article,jstor,,10/1/2011,4,52,http://www.jstor.org/stable/41308902,Kafi Kumasi; Renee Franklin Hill,Association for Library and Information Science Education (ALISE),eng,251,264,,cultural competence; moderate level; library; knowledge; prior knowledge; students; libqual; education; cultural backgrounds; diversity,7053,14,5ba600e5-1e80-4ff3-edf9-458ad76b1059
processed_fulltext_6.txt,fulltext_6,fulltext_6.txt,http://www.jstor.org/stable/90015214,"This article is an exploration of ways in which LIS educators can consider culture, heritage, and identity as a framework for becoming participatory agents of their teaching practices in the LIS classroom. To support this framework, this discussion introduces the research methodology, practitioner inquiry, as a meaningful approach to studying pedagogical practice and identity in the LIS classroom as a means to LIS educators becoming more self-reflective and aware of the impacts of their own identity construction in their teaching. In this article I am affirming the case for a diversity stance within the North American LIS curriculum. I am also posing additional questions and challenges about LIS identity construction and professional practice as we teach and learn in the classroom.",Gazing the Diversity Stance in North America,Journal of Education for Library and Information Science,2016,10.2307/90015214,article,research-article,jstor,,4/1/2016,2,57,http://www.jstor.org/stable/90015214,Vanessa Irvin,Association for Library and Information Science Education (ALISE),eng,151,160,,librarians; library; lis educators; cultural; practitioner inquiry; lis classroom; librarianship; identity; diversity; culture heritage,6256,10,5ba600e5-1e80-4ff3-edf9-458ad76b1059
processed_fulltext_7.txt,fulltext_7,fulltext_7.txt,http://www.jstor.org/stable/40324271,"Since the 1970s, most disciplines and schools of professional studies have developed their areas of curriculum, research, and theory construction by including race and ethnic studies. At the same time, library and information studies has lagged in providing a broader understanding of race and librarianship. Although attempts have been made to fill the racial-understanding gap, most of the work is characterized as exceptional/pioneer biography, with little attention given to broader social constructs of race and racism. This article explores how library and information science education falls short in contributing to the literature on race and racism. The current multicultural movement in library science is to be addressed.",Alternative Perspectives in Library and Information Science: Issues of Race,Journal of Education for Library and Information Science,1996,10.2307/40324271,article,research-article,jstor,,4/1/1996,2,37,http://www.jstor.org/stable/40324271,Lorna Peterson,Association for Library and Information Science Education (ALISE),eng,163,174,,library; librarianship; racial; blacks; librarians; racism; ernestine rose; discrimination; segregated; library science,6299,12,5ba600e5-1e80-4ff3-edf9-458ad76b1059
processed_fulltext_8.txt,fulltext_8,fulltext_8.txt,http://www.jstor.org/stable/40324036,"This paper explores the semiotic aspects of poster graphics observed as furnishings in selected libraries. Specifically, the paper analyzes the poster series produced and marketed by the American Library Association (ALA) as advertisements to promote reading and library use and considers how the behavior exhibited in these commercial scenes creates a discourse and subject positions that may ultimately be disconfirming for some library users. The theoretical framework for the study draws on a constitutive view of communication, which acknowledges the construction of knowledge and identity in interaction within social situations. Within this framework, Foucault's theory of discursive formation makes it possible to understand poster graphics as discursive practice, while Scheff's theory of the social bond draws attention to the unforeseen consequences for both library users and library professionals of the world view created by such posters.",Unpacking Library Posters: A Theoretical Approach,Journal of Education for Library and Information Science,2001,10.2307/40324036,article,research-article,jstor,,1/1/2001,1,42,http://www.jstor.org/stable/40324036,Nancy P. Thomas,Association for Library and Information Science Education (ALISE),eng,42,56,,posters; ala read; library; library posters; ala posters; unpacking library; read posters; library users; male anglo; entertainment male,7691,15,5ba600e5-1e80-4ff3-edf9-458ad76b1059
processed_fulltext_9.txt,fulltext_9,fulltext_9.txt,http://www.jstor.org/stable/90015203,"This report discusses the Overcoming Barriers to Information Access (B2A) program. This is a doctoral cohort program at the University of Wisconsin-Milwaukee funded by the Institute for Museum and Library Services. The program has focused on educating the next generation of doctoral graduates in library and information science with an emphasis on the theme of overcoming barriers to information access. Fellows were provided resources to support their educational activities, research and instructional experiences. In this paper the principal investigator for the program and the B2A Fellows reflect on the challenges and the rewards of their experiences in the program. Key findings that emerged include the importance of building community throughout the program and exposure to diverse perspectives. This initiative shows that although funding packages provide important resources to students, they do not buy extra time. The reflections in this paper provide insights into the doctoral student experience that can benefit other library and information science doctoral programs.",Planning LIS Doctoral Education Around a Focused Theme,Journal of Education for Library and Information Science,2016,10.2307/90015203,article,research-article,jstor,,1/1/2016,1,57,http://www.jstor.org/stable/90015203,Renee Bennett-Kapusniak; Jeannette Glover; Adriana McCleer; Jennifer Thiele; Dietmar Wolfram,Association for Library and Information Science Education (ALISE),eng,69,78,,doctoral; program; fellows; lis doctoral; library; research; doctoral students; doctoral education; doctoral programs; doctoral graduates,5747,10,5ba600e5-1e80-4ff3-edf9-458ad76b1059
processed_fulltext_10.txt,fulltext_10,fulltext_10.txt,http://www.jstor.org/stable/26754760,"In this autoethnographic article I reflect on my experiences as a now-tenured faculty member of color, which have been punctuated by incivility, bullying, stress, and abuse. As part of reconciling several acute events, I came to a distinct realization of what I had been going through; I was able to name it, and I was able to articulate the strategies I had been using to cope and thrive. This reflective piece is not meant to minimize the experiences of non-minority faculty, but it is absolutely meant to highlight and emphasize the specific challenges of being faculty member of color in library and information science, and in the academy writ large.",Impolite Hostilities and Vague Sympathies,Journal of Education for Library and Information Science,2019,10.2307/26754760,article,research-article,jstor,,7/1/2019,3,60,http://www.jstor.org/stable/26754760,Nicole A. Cooke,Association for Library and Information Science Education (ALISE),eng,223,230,,impolite hostilities; vague sympathies; faculty; bullying; emotional abuse; counter storytelling; workplace bullying; sympathies academia; workplace; incivility,3677,8,5ba600e5-1e80-4ff3-edf9-458ad76b1059
