"","doc_id","Topic_1","Topic_2","Topic_3","Topic_4","Topic_5","Topic_6","Topic_7","Topic_8","Topic_9","Topic_10","file","fileName","id","abstract","title","isPartOf","publicationYear","doi","docType","docSubType","provider","collection","datePublished","issueNumber","volumeNumber","url","creator","publisher","language","pageStart","pageEnd","placeOfPublication","keyphrase","wordCount","pageCount","file.1","decade"
"1","processed_fulltext_1.txt",0.693645689772394,1.09715262308083e-05,1.09715262306845e-05,1.09715262303955e-05,1.09715262305389e-05,1.09715262307406e-05,1.09715262303441e-05,1.09715262308332e-05,0.30626653801776,1.09715262306232e-05,"fulltext_1","fulltext_1.txt","http://www.jstor.org/stable/41308890","This paper identifies the core areas of the Master of Library and Information Studies (MLIS) curriculum at the School of Library and Information Studies (SLIS), University of Alabama, that informed student experiences during an ongoing service-learning project designed to provide basic technology literacy training to individuals with intellectual disabilities. This study was conducted to assess whether student participation complemented or expanded the knowledge and skills gained from the MLIS core through application in an external setting. The knowledge and skills acquired by the students are intended to raise consciousness of critical literacy issues that will enable students to participate in community engagement beyond their MLIS program. Through this study, the authors evaluate a project framework designed to connect student experiences in a training-based project with the core areas of the MLIS curriculum. Preliminary analysis demonstrates potential for the framework to serve as a practical generalization for developing similar basic technology literacy projects that can complement what is taught in other MLIS programs.","A Service-Learning Framework to Support an MLIS Core Curriculum","Journal of Education for Library and Information Science","2011","10.2307/41308890","article","research-article","jstor",NA,2011-04-01,"2",52,"http://www.jstor.org/stable/41308890","Dan Albertson; Maryann S. Whitaker","Association for Library and Information Science Education (ALISE)","eng","152","163",NA,"literacy; mlis core; learning; project; technology literacy; service; library; framework; students; project framework",6356,12,"5ba600e5-1e80-4ff3-edf9-458ad76b1059",2010
"2","processed_fulltext_10.txt",1.97145239263431e-05,1.97145239263058e-05,1.9714523925956e-05,1.97145239260933e-05,0.999822569284664,1.9714523926243e-05,1.97145239264222e-05,1.97145239262205e-05,1.97145239259944e-05,1.97145239261694e-05,"fulltext_10","fulltext_10.txt","http://www.jstor.org/stable/26754760","In this autoethnographic article I reflect on my experiences as a now-tenured faculty member of color, which have been punctuated by incivility, bullying, stress, and abuse. As part of reconciling several acute events, I came to a distinct realization of what I had been going through; I was able to name it, and I was able to articulate the strategies I had been using to cope and thrive. This reflective piece is not meant to minimize the experiences of non-minority faculty, but it is absolutely meant to highlight and emphasize the specific challenges of being faculty member of color in library and information science, and in the academy writ large.","Impolite Hostilities and Vague Sympathies","Journal of Education for Library and Information Science","2019","10.2307/26754760","article","research-article","jstor",NA,2019-07-01,"3",60,"http://www.jstor.org/stable/26754760","Nicole A. Cooke","Association for Library and Information Science Education (ALISE)","eng","223","230",NA,"impolite hostilities; vague sympathies; faculty; bullying; emotional abuse; counter storytelling; workplace bullying; sympathies academia; workplace; incivility",3677,8,"5ba600e5-1e80-4ff3-edf9-458ad76b1059",2010
"3","processed_fulltext_100.txt",0.995986601212104,9.58485823774265e-06,9.58485823767517e-06,0.00393671992199413,9.58485823780307e-06,9.5848582376809e-06,9.58485823776924e-06,9.58485823814197e-06,9.58485823739661e-06,9.58485823739783e-06,"fulltext_100","fulltext_100.txt","http://www.jstor.org/stable/40323823","School Library Media Specialist training via distance education is of interest to the library community which is seeking to stem the shortage of school library personnel. However, the effectiveness of distance education compared to face-to-face delivery has not been thoroughly evaluated. This study compares one graduate-level School Library Media Specialist program delivered both through online and face-to-face instructional delivery methods. We found that, for the most part, the two student cohorts (distance and face-to-face) performed equally in the areas demonstrating content knowledge. However, the online cohort earned fewer points than the face-to-face cohort on some project activities demonstrating the difficulty in relating the intricacies of project work via an online course. This study suggests that the delivery of School Library Media Specialist training can be conducted through an online format if attention is paid to communicating the details of project based work.","A Comparison of Online and Face-to-Face Cohorts in a School Library Media Specialist Graduate Program: A Preliminary Study","Journal of Education for Library and Information Science","2006","10.2307/40323823","article","research-article","jstor",NA,2006-10-01,"4",47,"http://www.jstor.org/stable/40323823","Shana Pribesh; Gail K. Dickinson; Katherine T. Bucher","Association for Library and Information Science Education (ALISE)","eng","303","323",NA,"online; library; cohorts; library media; online cohort; school library; students; two cohorts; project; face cohort",8001,21,"284c5376-5c81-4da3-7f2c-a69053b33c64",2000
"4","processed_fulltext_101.txt",1.33315547405545e-05,1.3331554740678e-05,0.945587138462231,1.33315547406862e-05,0.0543062090998452,1.33315547405778e-05,1.33315547404941e-05,1.33315547401877e-05,1.33315547405471e-05,1.33315547400849e-05,"fulltext_101","fulltext_101.txt","http://www.jstor.org/stable/10.1086/512955","The public library is a product of modernity that follows in the wake of industrialization, urbanization, and popular movements, while at the same time the public library itself supports the building up and development of the modern. This article will examine the arrival of modernity and the prerequisites for the rise of public libraries, as well as some crucial aspects of the relationship between the public library and modernity. Furthermore, by means of contributions from recent significant sociologists, such as Anthony Giddens, Jean?Fran�ois Lyotard, and Scott Lash, we shall discuss the implications of the development of late modern or postmodern society for the present public library.","Problems and Possibilities: The Public Library in the Borderline between Modernity and Late Modernity","The Library Quarterly: Information, Community, Policy","2007","10.1086/512955","article","research-article","jstor",NA,2007-01-01,"1",77,"http://www.jstor.org/stable/10.1086/512955","Casper Hvenegaard Rasmussen; Henrik Jochumsen","The University of Chicago Press","en","45","59",NA,"public library; libraries; modernity; enlightenment; reflexivity; dedifferentiation; toward dedifferentiation; postmodernity; increased reflexivity; late modernity",6080,15,"284c5376-5c81-4da3-7f2c-a69053b33c64",2000
"5","processed_fulltext_102.txt",8.97912468973865e-06,8.97912468929031e-06,8.97912468941353e-06,8.9791246892955e-06,8.97912468910162e-06,8.97912468926856e-06,8.97912468935057e-06,8.97912468952149e-06,0.999919187877795,8.97912468952525e-06,"fulltext_102","fulltext_102.txt","http://www.jstor.org/stable/26561662","We incorporate the perspective of diversity in order to discuss accessibility problems in LIS. “Diversity” is defined as the ability to create and ensure inclusive information access and services for different user groups. We outline the results of our study on library website accessibility for screen-reader users. Based on our findings, we argue that the inaccessibility of library websites is primarily a problem of diversity rather than being merely a technical issue. The high-level implications of this problem indicate the need to adopt inclusive principles that require usability beyond accessibility for all user groups in library web design. To meet this goal, we propose an inclusive information architecture specifically focused on screen-reader access. Our intention is to present broader guidelines for information design by illustrating one way in which inclusive principles can be applied to library website design by expanding and customizing the information architecture to meet the individual needs of diverse user groups.","Accessibility and Diversity in Library and Information Science","The Library Quarterly: Information, Community, Policy","2016","10.2307/26561662","article","research-article","jstor",NA,2016-04-01,"2",86,"http://www.jstor.org/stable/26561662","Kyunghye Yoon; Laura Hulscher; Rachel Dols","The University of Chicago Press","eng","213","229",NA,"accessibility; screen reader; library; library websites; usability; reader users; web accessibility; visual impairments; architecture; screen reader users",7720,17,"284c5376-5c81-4da3-7f2c-a69053b33c64",2010
"6","processed_fulltext_103.txt",0.292453574290869,1.52551698241098e-05,1.5255169824518e-05,0.0682322303491504,0.630222612886568,1.52551698240347e-05,1.52551698241626e-05,1.52551698240551e-05,0.00900005145446715,1.52551698241065e-05,"fulltext_103","fulltext_103.txt","http://www.jstor.org/stable/10.1086/665931","","The Implications of a Decade of Diversity-Related Doctoral Dissertations (2000–2009) in LIS: Supporting Inclusive Library Practices","The Library Quarterly: Information, Community, Policy","2012","10.1086/665931","article","research-article","jstor",NA,2012-07-01,"3",82,"http://www.jstor.org/stable/10.1086/665931","Mega M Subramaniam; Howard Rodriguez-Mori; Paul T. Jaeger; Renee Franklin Hill","The University of Chicago Press","en","361","377",NA,"diversity; dissertations; diversity related; diverse populations; research; related dissertations; diversity research; percent; dissertation abstracts; diversity related dissertations",4879,17,"284c5376-5c81-4da3-7f2c-a69053b33c64",2010
"7","processed_fulltext_104.txt",9.30691825503486e-06,9.30691825476403e-06,0.108615752500441,9.30691825459806e-06,0.0166086963329427,9.30691825461296e-06,0.874710402738834,9.30691825494215e-06,9.30691825421346e-06,9.30691825464483e-06,"fulltext_104","fulltext_104.txt","http://www.jstor.org/stable/10.1086/679024","AbstractAmerican law is unique among Western nations in its protection of hate speech (defined as speech against groups of people). Limits to any legal speech are viewed as potential encroachments on First Amendment rights. The profession of librarianship has formally embraced and defended a strict interpretation of the First Amendment in The Freedom to Read Statement and in court. However, individual librarians and scholars of law are not unanimous in defending hate speech. This article offers a rhetorical analysis of the defense of hate speech in these fields in order to illustrate a paradox: speech that intimidates is designed to silence others' voices. Good speech does not necessarily offer an antidote to bad speech when bad speech is loud and spoken often. The consequences of allowing all speech in public forums should be regularly evaluated so public spaces remain places where everyone is free to enter and be heard without fear.","What We Talk about When We Talk about Free Speech","The Library Quarterly: Information, Community, Policy","2015","10.1086/679024","article","research-article","jstor",NA,2015-01-01,"1",85,"http://www.jstor.org/stable/10.1086/679024","Jenny S. Bossaller; John M. Budd","The University of Chicago Press","en","26","44",NA,"speech; hate speech; librarians; first amendment; freedom; peattie; intellectual freedom; expression; libraries; librarianship",7961,19,"284c5376-5c81-4da3-7f2c-a69053b33c64",2010
"8","processed_fulltext_105.txt",1.49072190720329e-05,0.320343955940721,0.679536786306703,1.49072190722061e-05,1.49072190720396e-05,1.49072190720477e-05,1.49072190720886e-05,1.49072190720008e-05,1.49072190719686e-05,1.49072190718857e-05,"fulltext_105","fulltext_105.txt","http://www.jstor.org/stable/4302034","","The Democratic Function of Public Libraries","The Library Quarterly: Information, Community, Policy","1934","10.2307/4302034","article","research-article","jstor",NA,1934-01-01,"1",4,"http://www.jstor.org/stable/4302034","Grace O. Kelley","University of Chicago Press","eng","1","15",NA,"library; public library; public libraries; librarians; readers; education; service; democratic; democratic function; function",5586,15,"284c5376-5c81-4da3-7f2c-a69053b33c64",1930
"9","processed_fulltext_106.txt",8.0990879842155e-06,8.0990879842788e-06,8.09908798442002e-06,8.09908798442756e-06,0.0117943823207393,8.0990879841289e-06,8.0990879840736e-06,8.09908798376485e-06,0.988140824975388,8.09908798353445e-06,"fulltext_106","fulltext_106.txt","http://www.jstor.org/stable/26561647","This article explores the rich history of social justice as a concern in archival studies and delineates future lines of inquiry for the field. We begin by examining how social justice has been defined in the archives literature and its implications for archival studies. Next, we draw forth five major strands of archival thinking in relation to social justice. We identify prominent areas in the archival literature that highlight the relationship between archives and social justice. We also identify critical questions in the relationship between social justice and archives and propose new research trajectories that we deem necessary to advance the archival field in general and its scholarship in particular. Finally, we argue for the importance of research that strengthens the tenets of social justice as a central principle in archival scholarship and practice.","Critical Directions for Archival Approaches to Social Justice","The Library Quarterly: Information, Community, Policy","2016","10.2307/26561647","article","research-article","jstor",NA,2016-01-01,"1",86,"http://www.jstor.org/stable/26561647","Ricardo L. Punzalan; Michelle Caswell","The University of Chicago Press","eng","25","42",NA,"archival; justice; archivists; social; american archivist; archival science; archival studies; community archives; rights; digital",8076,18,"284c5376-5c81-4da3-7f2c-a69053b33c64",2010
"10","processed_fulltext_107.txt",4.75148127181417e-06,4.75148127191788e-06,4.75148127172166e-06,4.75148127185872e-06,0.0457526227909303,4.75148127158047e-06,0.954209365358895,4.75148127204847e-06,4.75148127157873e-06,4.75148127174501e-06,"fulltext_107","fulltext_107.txt","http://www.jstor.org/stable/4309229","Approximately one hundred young adult novels with gay/lesbian/queer content have been published since the first one appeared in 1969. Building on earlier content analysis research, this article provides three theoretical approaches to understand the evolution of this subgenre, drawing on the work of Gerda Lerner, Rudine Sims Bishop, and George Chauncey. It concludes by highlighting themes and patterns that suggest the progress that has been made and has yet to be made in the realistic portrayal of gay/lesbian/queer lives in young adult fiction.","From Queer to Gay and Back Again: Young Adult Novels with Gay/Lesbian/Queer Content, 1969-1997","The Library Quarterly: Information, Community, Policy","1998","10.2307/4309229","article","research-article","jstor",NA,1998-07-01,"3",68,"http://www.jstor.org/stable/4309229","Christine Jenkins","University of Chicago Press","eng","298","334",NA,"lesbian; lesbian characters; lesbian people; lesbian queer; lesbian content; novels; gay lesbian people; gay lesbian queer; gay men; gay lesbian content",15150,37,"284c5376-5c81-4da3-7f2c-a69053b33c64",1990
