DocID,Word,Topic0,"text",8
1,"identifies",7
1,"core",10
1,"areas",11
1,"master",5
1,"mlis",5
1,"curriculum",5
1,"school",7
1,"slis",13
1,"university",5
1,"alabama",10
1,"informed",1
1,"student",5
1,"experiences",5
1,"ongoing",13
1,"service",8
1,"learning",3
1,"project",8
1,"designed",1
1,"provide",3
1,"basic",11
1,"technology",8
1,"literacy",1
1,"training",8
1,"individuals",6
1,"intellectual",7
1,"disabilities",1
1,"conducted",5
1,"assess",5
1,"student",5
1,"participation",8
1,"complemented",7
1,"expanded",12
1,"knowledge",8
1,"skills",11
1,"gained",8
1,"mlis",5
1,"core",10
1,"application",3
1,"external",6
1,"setting",1
1,"knowledge",8
1,"skills",11
1,"acquired",6
1,"students",5
1,"intended",11
1,"raise",1
1,"consciousness",7
1,"critical",14
1,"literacy",1
1,"enable",11
1,"students",11
1,"participate",10
1,"community",11
1,"engagement",3
1,"beyond",14
1,"mlis",5
1,"program",11
1,"authors",5
1,"evaluate",11
1,"project",8
1,"framework",10
1,"designed",1
1,"connect",1
1,"student",5
1,"experiences",5
1,"training",8
1,"project",8
1,"core",10
1,"areas",11
1,"mlis",5
1,"curriculum",5
1,"preliminary",5
1,"analysis",5
1,"demonstrates",3
1,"potential",10
1,"framework",10
1,"serve",8
1,"practical",3
1,"generalization",11
1,"developing",7
1,"similar",10
1,"basic",11
1,"technology",8
1,"literacy",1
1,"projects",5
1,"complement",5
1,"taught",5
1,"mlis",5
1,"programs",5
2,"traditionally",14
2,"american",2
2,"education",14
2,"librarianship",13
2,"predominantly",4
2,"white",11
2,"female",9
2,"oriented",11
2,"professions",14
2,"international",14
2,"gay",6
2,"male",9
2,"person",9
2,"color",11
2,"originally",7
2,"india",14
2,"ranks",5
2,"embraced",6
2,"social",6
2,"justice",6
2,"scholarship",6
2,"outside",11
2,"bastion",5
2,"institutions",4
2,"higher",7
2,"learning",3
2,"year",9
2,"tenure",6
2,"educator",7
2,"reflects",7
2,"select",13
2,"experiences",5
2,"minority",13
2,"along",6
2,"multiple",14
2,"intersectional",5
2,"dimensions",14
2,"human",14
2,"experience",5
2,"socially",9
2,"constructed",6
2,"identity",5
2,"markers",2
2,"including",13
2,"raceethnicity",4
2,"national",14
2,"origins",9
2,"sex",7
2,"gender",9
2,"sexual",9
2,"orientation",9
2,"indulging",11
2,"musings",14
2,"allows",10
2,"decipher",4
2,"layers",6
2,"complexities",11
2,"shaping",11
2,"faculty",7
2,"interpersonal",10
2,"microaggressions",13
2,"perceived",5
2,"lack",13
2,"equal",4
2,"equitable",9
2,"recognition",13
2,"contributions",2
2,"limited",13
2,"comparable",11
2,"administrative",2
2,"growth",9
2,"opportunities",7
2,"discussed",5
2,"hypothesized",14
2,"encounters",13
2,"form",13
2,"few",14
2,"imagined",11
2,"scenarios",14
2,"episodes",7
2,"connected",10
2,"form",13
2,"searching",7
2,"narrative",13
2,"develops",13
2,"alternative",7
2,"voice",9
2,"identify",11
2,"possible",7
2,"directions",10
2,"transform",13
2,"education",14
2,"beyond",14
2,"feel",13
2,"practices",5
2,"policies",4
2,"surrounding",14
2,"diversity",14
2,"inclusion",5
2,"collegiality",6
2,"give",13
2,"greater",11
2,"relevance",10
2,"twenty",8
2,"century",14
2,"goal",11
2,"engage",10
2,"authentic",9
2,"conversations",10
2,"address",14
2,"behaviors",8
2,"perceived",5
2,"prejudice",11
2,"bias",8
2,"abuse",7
2,"discrimination",9
2,"intentional",13
2,"unintentional",9
2,"faculty",7
2,"administrators",7
2,"targeting",5
2,"male",9
2,"faculty",7
2,"color",11
2,"marginalized",13
2,"others",10
2,"generation",5
2,"graduates",5
2,"academic",7
2,"professional",11
2,"networks",14
3,"exploratory",11
3,"examines",9
3,"number",0
3,"african",11
3,"american",11
3,"female",9
3,"doctoral",9
3,"recipients",7
3,"interests",8
3,"past",13
3,"ten",0
3,"years",11
3,"enhances",8
3,"understanding",0
3,"african",11
3,"american",11
3,"female",9
3,"phd",0
3,"recipients",7
3,"plan",14
3,"contribute",11
3,"field",14
3,"found",7
3,"important",7
3,"dissertation",14
3,"areas",11
3,"provide",9
3,"insight",11
3,"participation",8
3,"african",11
3,"american",11
3,"women",9
3,"amount",8
3,"focus",11
3,"given",11
3,"related",9
3,"african",11
3,"americans",0
3,"presents",11
3,"data",0
3,"findings",11
3,"context",8
3,"diversity",14
3,"doctoral",9
3,"education",14
3,"historical",8
3,"participation",8
3,"african",11
3,"americans",0
3,"education",14
3,"recommendations",11
3,"areas",11
3,"future",9
3,"generated",11
3,"findings",11
3,"proposed",14
3,"further",8
3,"explore",7
3,"implications",14
3,"findings",11
3,"discussed",13
3,"assist",14
3,"graduate",13
3,"school",7
3,"administrators",9
3,"refining",8
3,"recruitment",7
3,"methods",0
3,"serve",8
3,"attract",0
3,"african",11
3,"american",11
3,"women",9
3,"field",14
4,"association",5
4,"education",14
4,"alise",5
4,"appointed",3
4,"five",6
4,"member",7
4,"taskforce",14
4,"pursue",7
4,"development",2
4,"alise",5
4,"statement",6
4,"diversity",14
4,"years",14
4,"later",3
4,"alise",5
4,"membership",3
4,"voted",6
4,"unanimously",3
4,"adopt",3
4,"statement",6
4,"effort",3
4,"move",7
4,"statement",6
4,"mere",6
4,"words",2
4,"taskforce",14
4,"provided",13
4,"actionable",5
4,"models",14
4,"ideas",14
4,"œigniteâ",5
4,"session",6
4,"diversity",14
4,"collaborative",5
4,"piece",14
4,"four",7
4,"members",5
4,"ignite",5
4,"diversity",14
4,"panel",3
4,"share",3
4,"ideas",6
4,"experiences",5
4,"methods",3
4,"advancing",7
4,"diversity",14
4,"classroom",5
4,"beyond",14
4,"professors",3
4,"renate",14
4,"chancellor",5
4,"clara",3
4,"chu",5
4,"howard",6
4,"rodriguez",6
4,"mori",6
4,"loriene",14
4,"roy",6
4,"provide",3
4,"ideas",6
4,"real",3
4,"world",6
